Name,Type,Brand,Speaker Maximum,Connectivity Technology,Audio Output Mode,Mounting Type
"Super Tweeters, Bullet Tweeters for Car Audio, Tweeter Speakers, Car Audio,600 Watt High Compression Titanium Super Car Neodymium Magnet Bullet Tweeter (Pair)",BONCHIZIA,600 Watts,Auxiliary,Stereo,Flush Mount,https://www.amazon.com/BONCHIZIA-Tweeters-Speakers-Compression-Neodymium/dp/B0D9QQWL2R/ref=sr_1_221?dib=eyJ2IjoiMSJ9.pPy8TAmhVFpPq9PFEUMR0dnNfTgePxq5me-dfKJrJxi5GgOeyc_JjqUS8ReUujB87FP2x5k5hABDD2lPdkIIOLPdVD2YQtiBUYJ3yD1mxyPKlyVG52-5KH-0bgE6nfIAce-00yDejhRkF4Gkr5-CFZBrhSDDOi-bEZWFASa_BQzIZ0WcNOF4KvX4FIf1dnYZkom82CD2zPUh_4HW4KLf3Xx8rliKELg7zfOu6CUiRXs.skrCyuZIXMzAwYfWwpKGYGiz_gBQnQgLDukRIrdSt5U&dib_tag=se&keywords=car+speakers&qid=1760613799&refinements=p_36%3A4700-7200&sr=8-221&xpid=ca4jDVpnN1Llu
"PIONEER A-Series Standard TS-A1371F 5.25” 3-Way Speakers (Pair) – 300W Max, Balanced Sound + Smooth Treble, Enhanced Bass, Great Stock Replacement",PIONEER,300 Watts,52000 Hz,Coaxial,Stereo,https://www.amazon.com/PIONEER-TS-A1371F-Speakers-Installation-Enhanced/dp/B0CHX1FLXM/ref=sr_1_63?dib=eyJ2IjoiMSJ9.RYpZxcY0A2IQIo8ihT7TWMYPwChUuObsqI75_0jskhDkkRQFfVufuHRMALs-8EU1p7IzxQcb6vFNbB-i8a661ZcljYhaPyUUjznYdyY4kucwKnKjnN4zUR36q9KPds95LAf3MwGzUx-t-_VTZXRtpqUYzEe8JuojMYvy3DTbFk2U1tZi_nFJTT-7fsgTWqrI0_86FN_Z1yd2Rx0h6X_4_ACVv0Hsmk3_4rW0YJGAa0U.YjGkVdwrrbMjDcaX-y_tVOdS-JYbpO-nfzjVEjZbMN8&dib_tag=se&keywords=car+speakers&qid=1760613760&refinements=p_36%3A4700-7200&sr=8-63&xpid=ca4jDVpnN1Llu
"KICKER DSC350 3.5-Inch (89mm) Coaxial Speakers, 4-Ohm (Pair)",KICKER,30 Watts,80 Hz,wired,Surround,https://www.amazon.com/Kicker-43DSC3504-2-Inch-3-5-Inch-Speakers/dp/B01BLVEV8S/ref=sr_1_19?dib=eyJ2IjoiMSJ9.ADvaUT-BEh8rVD1R2A8vR0pzXq83iWurPgf98zr8-PEwKbdLAAaZfxT3g5_HeXFFa-YLOJuq2vnmbZJd5cm0qU46k_-DW0RAVRnKz44SWOiCSzya1Ti00P-lO7YPvVM0vkgbgMcmJHgElBXrFNnuiffbxk4K2R7rSUYh69QGdRX1zx1dF4NER8ARVKgsbMF48VLSjNFQP6bQM6De4C8CiNqJWKRt7OQXNTJlymhOJGM.gBViwZbdCKqPKTqeVpRW40Xcu2KNcvfVn7_kgpseIuw&dib_tag=se&keywords=car+speakers&qid=1760613749&refinements=p_36%3A4700-7200&sr=8-19&xpid=ca4jDVpnN1Llu
"Infinity Primus 503F Primus Series 5-1/4 2-Way Multi-Element Speakers, Pair",Infinity,80 Watts,Coaxial,Stereo,Flush Mount,https://www.amazon.com/Infinity-Primus-2-Way-Multi-Element-Speakers/dp/B0B8F84P5H/ref=sr_1_158?dib=eyJ2IjoiMSJ9.P5lCmF2Kn5PHy40nWAsxS95SijicX-54MkyQe_Gi01yYSDVeuhiJGXsywf2nPJYvnMARrL54Lhc979ouwF3soQxWNOKG_qm8FCqxoOpvhDw0B7iEvfiPp1lwaGXkQ1dGb-rLg4EA6ocpFMYO20b7k3HB3_nOUAeVsbohiW2ArwrdI5WtQgdJbGLQKlBlC6ehbY6l7LbLX4Cd3z9zfcS_MvwDKXLQIX1MojFX-SiWcWs.or2qp14rtFaMK5NssyOi5mIDPAFflq3eL1BWLa2gh9I&dib_tag=se&keywords=car+speakers&qid=1760613782&refinements=p_36%3A4700-7200&sr=8-158&xpid=ca4jDVpnN1Llu
"DS18 S69 Select 6x9 3-Way Coaxial Speaker 240 Watts 4-Ohm, Grill Included - 3-Way Car Audio Speakers, Perfect OEM Upgrade, Easy Installation, 6"" x 9"" Car Speakers - Pair",DS18,240 Watts,20 KHz,Wired,Stereo,https://www.amazon.com/DS18-S69-Coaxial-Speaker-Included/dp/B0CT3YX154/ref=sr_1_118?dib=eyJ2IjoiMSJ9.HRVPT69x6B9aqJfpxNi7Otx1EsT6Rlz2VtyDaobnC7eohGBzmOtmw6h6v4E1dnOowyDVQg8_EBLCNF3hU-YQ628GDkkY4OFuinTXAM88yZIekGTl1n_nRWzqSFYZjn-6pAh1zTCW6LyT8kpvq79a23TxUwWEnN6-8uq02gZnvK1HHAmMI2RgIDdNl7W6s9meqrgdXdhEKQBXqW6n2gMvMnRG6w6j-zjQAJJ_xajW0sg.ovejE1b_QPQKKfBVyjU0-H4TUE7E1WGltsrFDrPpjKM&dib_tag=se&keywords=car+speakers&qid=1760613775&refinements=p_36%3A4700-7200&sr=8-118&xpid=ca4jDVpnN1Llu
"CT Sounds BIO-6X9-COX 6x9 Inch Coaxial Car Speakers, 200 Watts Max, Pair",CT Sounds,200 Watts,Coaxial,Surround,10 Volts,https://www.amazon.com/CT-Sounds-Inch-Coaxial-Speakers/dp/B01LZ6D966/ref=sr_1_119?dib=eyJ2IjoiMSJ9.HRVPT69x6B9aqJfpxNi7Otx1EsT6Rlz2VtyDaobnC7eohGBzmOtmw6h6v4E1dnOowyDVQg8_EBLCNF3hU-YQ628GDkkY4OFuinTXAM88yZIekGTl1n_nRWzqSFYZjn-6pAh1zTCW6LyT8kpvq79a23TxUwWEnN6-8uq02gZnvK1HHAmMI2RgIDdNl7W6s9meqrgdXdhEKQBXqW6n2gMvMnRG6w6j-zjQAJJ_xajW0sg.ovejE1b_QPQKKfBVyjU0-H4TUE7E1WGltsrFDrPpjKM&dib_tag=se&keywords=car+speakers&qid=1760613775&refinements=p_36%3A4700-7200&sr=8-119&xpid=ca4jDVpnN1Llu
"MX80E1 Loudspeaker 8 Inch Midrange 560 Watts 6 Ohms Red Bullet, Premium Quality Audio Door Speakers for Car or Truck Stereo Sound System, Red (2 Speakers)",Guooreat,280 Watts,Coaxial,Stereo,Speaker,https://www.amazon.com/Guooreat-Loudspeaker-Midrange-Premium-Speakers/dp/B0DSB3J1HM/ref=sr_1_197?dib=eyJ2IjoiMSJ9.B6cd9Sg_J8qNPNIEDfUf7RbquRulRSXYamr7ZRbgHz652KkDZAl8E9DtiB-8M2LWcxqNpex0Pgz_rulE7ALLxYRkKW-hVsxWKjR39AaJ4EvPTtsxYkjZoPOcGgzp8Xc7qOPvlMeMqrzbFMdADyPAxJJ5NTCqRpvjw7uNlfgrzhpPs6ZbYOVxHUXBDhGkVtbh2vNL03GNt2SHgw4cpTVnlNyNTu9cGmgGSVZRMejjV6E.zo1iKRb390e4Te6odiNAh9SisUlOybkgC6Gi1ero70k&dib_tag=se&keywords=car+speakers&qid=1760613797&refinements=p_36%3A4700-7200&sr=8-197&xpid=ca4jDVpnN1Llu
"Pyle 6.5” Dual Marine Speakers - IP44 Waterproof and Weather Resistant Outdoor Audio Stereo Sound System with Built-in Led Lights, 150 Watt Power and Polypropylene Cone - 1 Pair - PLMR6LEB (Black)",None,None,None,None,None,https://www.amazon.com/Pyle-pulgadas-exteriores-resistente-integrada/dp/B01176YFYM/ref=sr_1_261?dib=eyJ2IjoiMSJ9.vtxE3FoG-M-PVqFGjiq_Nlzy8rvN5AU9varizGqwYhQ0tM-rN2fwhgwwKIgPcR2e_IgLFv3cU8D4kUvIu3A2WgSuN6SGdBoka5Dv6UEpW83CEtA_q0t9KBYqAysnd66dEC4VL735wZEuz9a8YfWhCMH7hHVcC7tOLCypALDEHbUaWNblxkUhqQfzATRGvXyD7rAj7xl1f4iomU0BBq-n4SaqGsS0o9BZdaG3Gm5bAa0.Y1aODprZYn7CFeAzLXe4AADZZhCa_0qe_cUt9Q9gg4Q&dib_tag=se&keywords=car+speakers&qid=1760613808&refinements=p_36%3A4700-7200&sr=8-261&xpid=ca4jDVpnN1Llu
"6 x 9 5-Way Car Coaxial Audio Speakers (Pair), 1000W Peak 4 Ohm Vehicle Coaxial Speaker W/PEI Dome Tweeters, Universal Car Stereo Speaker, Coaxial Tweeter Speaker Replacement",Suacopzar,1000 Watts,Coaxial,Stereo,Car Mount,https://www.amazon.com/Suacopzar-Speakers-Tweeters-Universal-Replacement/dp/B0CJ527MG4/ref=sr_1_99?dib=eyJ2IjoiMSJ9.geNGvfH4P1kX7yGzm-aIjxypYKKa11V9EC2H_g-WkedwYuShLQDVU5PpShSaAcjEZ2TeY1Rsb_hzHvKENfoAnNLVBMP8IE7Nfp6UBEH6U9Kb8yFm7lY0GPzImHjdsbQNBharO3v5cPymkUJvEwpcu-57utLfYd8AAux7pYcd9_mWA4wIU7bSg_5P0OXYTSutzm6q3d8fnyGgguy219ErcjGnY03FwGOHvdI9o5FnDmc.x4FhHQxcvtIwJbT-Ut_9ZQYDxk4f8_ZmlznLDcsRNMg&dib_tag=se&keywords=car+speakers&qid=1760613769&refinements=p_36%3A4700-7200&sr=8-99&xpid=ca4jDVpnN1Llu
"Upgrade 6.5"" Car Midrange Speakers, 300W Peak Power Carbon Fiber Cones, 4 Ohm Mid-Bass Stereo Audio – High Sensitivity, Shockproof Design (Pair)",WDiYA,300 Watts,20000 Hz,Coaxial,Surround,https://www.amazon.com/WDiYA-Upgrade-Midrange-Speakers-Mid-Bass/dp/B0F9XRF39Y/ref=sr_1_121?dib=eyJ2IjoiMSJ9.HRVPT69x6B9aqJfpxNi7Otx1EsT6Rlz2VtyDaobnC7eohGBzmOtmw6h6v4E1dnOowyDVQg8_EBLCNF3hU-YQ628GDkkY4OFuinTXAM88yZIekGTl1n_nRWzqSFYZjn-6pAh1zTCW6LyT8kpvq79a23TxUwWEnN6-8uq02gZnvK1HHAmMI2RgIDdNl7W6s9meqrgdXdhEKQBXqW6n2gMvMnRG6w6j-zjQAJJ_xajW0sg.ovejE1b_QPQKKfBVyjU0-H4TUE7E1WGltsrFDrPpjKM&dib_tag=se&keywords=car+speakers&qid=1760613775&refinements=p_36%3A4700-7200&sr=8-121&xpid=ca4jDVpnN1Llu
