Name,Type,Brand,Speaker Maximum,Connectivity Technology,Audio Output Mode,Mounting Type
Pair of SoundXtreme 6x9 520 Watt 4-Way Red Car Audio Stereo Coaxial Speakers - ST694 (2 Speakers),Audiobank,700 Watts,Coaxial,Stereo,"Coaxial,Car Mount",https://www.amazon.com/SoundXtreme-4-Way-Stereo-Coaxial-Speakers/dp/B07P8X1NSY/ref=sr_1_106?dib=eyJ2IjoiMSJ9.geNGvfH4P1kX7yGzm-aIjxypYKKa11V9EC2H_g-WkedwYuShLQDVU5PpShSaAcjEZ2TeY1Rsb_hzHvKENfoAnNLVBMP8IE7Nfp6UBEH6U9Kb8yFm7lY0GPzImHjdsbQNBharO3v5cPymkUJvEwpcu-57utLfYd8AAux7pYcd9_mWA4wIU7bSg_5P0OXYTSutzm6q3d8fnyGgguy219ErcjGnY03FwGOHvdI9o5FnDmc.x4FhHQxcvtIwJbT-Ut_9ZQYDxk4f8_ZmlznLDcsRNMg&dib_tag=se&keywords=car+speakers&qid=1760613769&refinements=p_36%3A4700-7200&sr=8-106&xpid=ca4jDVpnN1Llu
"Polk Audio DB461 4-by-6-Inch Coaxial Speakers (Pair, Black)",Polk Audio,120 Watts,Coaxial,Surround,"Boat Mount,Coaxial",https://www.amazon.com/Polk-Audio-6-Inch-Coaxial-Speakers/dp/B000P0R6HA/ref=sr_1_89?dib=eyJ2IjoiMSJ9.X8OJLg3LktNsTJzSEOpoeKXBXqVx_ItKRQaIRGZEk4zyK_qfFccfx4sqh9zKECs5itQ_1tbFAJrXrFtRcA8hi_apIdEUxb3Fi97EpwEQZCVFkMCQWJ4s7EhD07D9-EzKpX6GrjxBHbWfrG2oYktpHlpGLDYy7-JSgrLlPoUwNulMNpQb4m2cbo5qXQNKJ7InotfblXK9PL8rE7m265Y45TIry6pgBQNkd_HOcokFoB8.eDX_NDsyR8vkZYNcXhoksiKjNkNxOpjQYokBpLkD1ZQ&dib_tag=se&keywords=car+speakers&qid=1760613766&refinements=p_36%3A4700-7200&sr=8-89&xpid=ca4jDVpnN1Llu
Kenwood KFC-1696PS 6.5 Inch 2 Way Car Speakers with 320 Watts Peak Power (Pair),Kenwood,320 Watts,24 KHz,Coaxial,Stereo,https://www.amazon.com/Kenwood-KFC-1696PS-Speakers-Watts-KFC1696PS/dp/B07NF67TWG/ref=sr_1_80?dib=eyJ2IjoiMSJ9.UNYjDf9k6HUlJ9o58kjye5A224Ux3FxzAG93b6pVCpjYXh-iOcAVdkHDxTjOjTUaPQu4SqwqctlFgRj4wUch659k4yezdiSO08Lfi89nWCf_UdbG2X56e260VdalTaYmkVra8qCUk6XJOlKjE0t80a1o9IsH2VvRTrj0bdmjlkVg5KMrTx_hRO13Nezaq-5K8j1nfk78GYhBxFVpc4Jp2m44ceXqQmV3CF2Q9cCTpcM.xlMsB7UgOM23QSXiZHPHZmMX_xU1ipM_FwcVh0Yyob8&dib_tag=se&keywords=car+speakers&qid=1760613764&refinements=p_36%3A4700-7200&sr=8-80&xpid=ca4jDVpnN1Llu
"KICKER 46CSC354 CS-Series CSC35 3.5-Inch (89mm) Coaxial Speakers, 4-Ohm (Pair)",KICKER,60 Watts,20000 Hz,Coaxial,Surround,https://www.amazon.com/Kicker-46CSC354-Coaxial-Stereo-Speakers/dp/B07NSDKVW4/ref=sr_1_64?dib=eyJ2IjoiMSJ9.RYpZxcY0A2IQIo8ihT7TWMYPwChUuObsqI75_0jskhDkkRQFfVufuHRMALs-8EU1p7IzxQcb6vFNbB-i8a661ZcljYhaPyUUjznYdyY4kucwKnKjnN4zUR36q9KPds95LAf3MwGzUx-t-_VTZXRtpqUYzEe8JuojMYvy3DTbFk2U1tZi_nFJTT-7fsgTWqrI0_86FN_Z1yd2Rx0h6X_4_ACVv0Hsmk3_4rW0YJGAa0U.YjGkVdwrrbMjDcaX-y_tVOdS-JYbpO-nfzjVEjZbMN8&dib_tag=se&keywords=car+speakers&qid=1760613760&refinements=p_36%3A4700-7200&sr=8-64&xpid=ca4jDVpnN1Llu
"DS18 6PRO300MR-4 6.5"" Professional Mid-Range Loudspeaker, High Sensitivity 102dB, 150W RMS 300W Max Power, 4-Ohm, 6.5"" Midrange Car Speaker - Single",DS18,3E+2 Watts,12.5 KHz,Wired,Stereo,https://www.amazon.com/DS18-6PRO300MR-4-Professional-Loudspeaker-Sensitivity/dp/B0CX6YQ87D/ref=sr_1_262?dib=eyJ2IjoiMSJ9.vtxE3FoG-M-PVqFGjiq_Nlzy8rvN5AU9varizGqwYhQ0tM-rN2fwhgwwKIgPcR2e_IgLFv3cU8D4kUvIu3A2WgSuN6SGdBoka5Dv6UEpW83CEtA_q0t9KBYqAysnd66dEC4VL735wZEuz9a8YfWhCMH7hHVcC7tOLCypALDEHbUaWNblxkUhqQfzATRGvXyD7rAj7xl1f4iomU0BBq-n4SaqGsS0o9BZdaG3Gm5bAa0.Y1aODprZYn7CFeAzLXe4AADZZhCa_0qe_cUt9Q9gg4Q&dib_tag=se&keywords=car+speakers&qid=1760613808&refinements=p_36%3A4700-7200&sr=8-262&xpid=ca4jDVpnN1Llu
"4-Inch Car midrange Speakers – Carbon Fiber Cones, 4 Ohm Mid-Bass, 300W Peak Power, High Fidelity Audio for Surround Sound – Professional High-End Auto Audio System",ANNECK,300 Watts,20000 Hz,RCA,Surround,https://www.amazon.com/ANNECK-4-Inch-Car-midrange-Speakers/dp/B0FNW3BGD9/ref=sr_1_165?dib=eyJ2IjoiMSJ9.dy7A8NmdMSpytW3-aQnPHlFPe1RZPoSL_khOsQiwrUbfn0qdbvw7GGRJ60O5Ayfl91upDUWh3mGud2uRw4rCxBr4vZf9SbB4XoRg0wx3APR-JIhRDR1tfrrF7iOUP1X7bxLI_VaT71OdpE1BVs4Z4veN15C7jjAhmWXUUqLR0MOpXvgsY3SuJXUFAOZxR4N2iieDBDI3Km7VmJc756BQpqVyHI-v0FXj-sdbsZchrXg.0B_booi1DXtrM2C3r36_FX3vkesvsKsifolp4cRWV8M&dib_tag=se&keywords=car+speakers&qid=1760613788&refinements=p_36%3A4700-7200&sr=8-165&xpid=ca4jDVpnN1Llu
"Pioneer A-Series TS-A878 3.5” 2-Way Speakers (Pair) – 100W Max, Balanced Sound + Smooth Treble, Great Stock Replacement, Easy Installation",None,None,None,None,None,https://www.amazon.com/Pioneer-TS-A878-Inch-2-Way-Speakers/dp/B00009QOTA/ref=sr_1_79?dib=eyJ2IjoiMSJ9.UNYjDf9k6HUlJ9o58kjye5A224Ux3FxzAG93b6pVCpjYXh-iOcAVdkHDxTjOjTUaPQu4SqwqctlFgRj4wUch659k4yezdiSO08Lfi89nWCf_UdbG2X56e260VdalTaYmkVra8qCUk6XJOlKjE0t80a1o9IsH2VvRTrj0bdmjlkVg5KMrTx_hRO13Nezaq-5K8j1nfk78GYhBxFVpc4Jp2m44ceXqQmV3CF2Q9cCTpcM.xlMsB7UgOM23QSXiZHPHZmMX_xU1ipM_FwcVh0Yyob8&dib_tag=se&keywords=car+speakers&qid=1760613764&refinements=p_36%3A4700-7200&sr=8-79&xpid=ca4jDVpnN1Llu
"Audiopipe New APMB-6 6"" 250W 8-Ohm Low/Mid Frequency Loudspeaker Speaker APMB6, blk",Audiopipe,250 Watts,100 Hz,Wired,Surround,https://www.amazon.com/AUDIOPIPE-APMB-6-Frequency-Loudspeaker-Speaker/dp/B0040U8U8K/ref=sr_1_195?dib=eyJ2IjoiMSJ9.HEKNNYJAiriM6074sXMg9aYe0Jb8kWMp3b_k8xCqwaxv2J0kJ4ddd4EayR8YXE-qrDkvGqeAmJh5sXHN73ui59Y_k2xmSF4Ez5Ws8-YYK6RZR0cNMdEGQO_IJSm9mXsM6jpd9b9u7xOsFFxHgzVr65sFTX8odbZvAbNv__IOQVw2SN9td0dNDFxPqkSrpXCtkvxcaSrJyAx0p3Na5gWv___YDq7O-_LlTlwvPwF7unA.RCBVvFjILzZSUkRpsP7Nq3IbXXxoIBh2ISlVHIrLIME&dib_tag=se&keywords=car+speakers&qid=1760613791&refinements=p_36%3A4700-7200&sr=8-195&xpid=ca4jDVpnN1Llu
CT Sounds Tropo 6.5” 160 Watt Shallow-Mount Coaxial Car Speakers - Pair,CT Sounds,160 Watts,Copper_Wire,Surround,Door Mount,https://www.amazon.com/CT-Sounds-Shallow-Mount-Coaxial-Speakers/dp/B0CMGJ3T43/ref=sr_1_274?dib=eyJ2IjoiMSJ9.vtxE3FoG-M-PVqFGjiq_Nlzy8rvN5AU9varizGqwYhQ0tM-rN2fwhgwwKIgPcR2e_IgLFv3cU8D4kUvIu3A2WgSuN6SGdBoka5Dv6UEpW83CEtA_q0t9KBYqAysnd66dEC4VL735wZEuz9a8YfWhCMH7hHVcC7tOLCypALDEHbUaWNblxkUhqQfzATRGvXyD7rAj7xl1f4iomU0BBq-n4SaqGsS0o9BZdaG3Gm5bAa0.Y1aODprZYn7CFeAzLXe4AADZZhCa_0qe_cUt9Q9gg4Q&dib_tag=se&keywords=car+speakers&qid=1760613808&refinements=p_36%3A4700-7200&sr=8-274&xpid=ca4jDVpnN1Llu
"BOSS Audio Systems 750BRGB Car Stereo - Single Din, Bluetooth, CD Player, AM/FM Radio Receiver, USB, AUX Input, Multi Color Illumination",None,None,None,None,None,https://www.amazon.com/Boss-Audio-Systems-750BRGB-Stereo/dp/B01FC3SFWY/ref=sr_1_182?dib=eyJ2IjoiMSJ9.HEKNNYJAiriM6074sXMg9aYe0Jb8kWMp3b_k8xCqwaxv2J0kJ4ddd4EayR8YXE-qrDkvGqeAmJh5sXHN73ui59Y_k2xmSF4Ez5Ws8-YYK6RZR0cNMdEGQO_IJSm9mXsM6jpd9b9u7xOsFFxHgzVr65sFTX8odbZvAbNv__IOQVw2SN9td0dNDFxPqkSrpXCtkvxcaSrJyAx0p3Na5gWv___YDq7O-_LlTlwvPwF7unA.RCBVvFjILzZSUkRpsP7Nq3IbXXxoIBh2ISlVHIrLIME&dib_tag=se&keywords=car+speakers&qid=1760613791&refinements=p_36%3A4700-7200&sr=8-182&xpid=ca4jDVpnN1Llu
